Channel,WAV,Begin Time (s),call_type,Repetition,localization
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19155.735115379,52,3,10869.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19151.14913464,52,3,10872.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19161.037655607,52,3,10872.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19152.725565519,52,3,10872.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19150.719198946,52,3,10873.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19158.744665238,52,3,10873.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19149.142768067,52,3,10873.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19146.993089596,52,3,10874.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19157.024922461,52,3,10874.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19148.569520475,52,3,10874.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19145.703282513,52,3,10875.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19153.298813111,52,3,10875.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19143.983539736,52,3,10875.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19141.547237469,52,3,10876.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19148.999456169,52,3,10876.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19142.98035645,52,3,10876.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19227.964312009,52,3,10896.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19235.703154505,52,3,10896.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19225.957945436,52,3,10896.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19225.67132164,52,3,10897.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19233.553476034,52,3,10897.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19223.808266965,52,3,10897.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19221.658588494,52,3,10898.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19231.403797563,52,3,10898.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19223.521643169,52,3,10898.0
2.0,20170615-120000_20170615-180000_CANAPE_multichannel_1245.wav,7379.674962707,11,3,1647.0
3.0,20170615-120000_20170615-180000_CANAPE_multichannel_1245.wav,7382.794091844,11,3,1647.0
4.0,20170615-120000_20170615-180000_CANAPE_multichannel_1245.wav,7389.552204976,11,3,1647.0
2.0,20170615-120000_20170615-180000_CANAPE_multichannel_1245.wav,7423.342770633,14,3,1648.0
3.0,20170615-120000_20170615-180000_CANAPE_multichannel_1245.wav,7426.331936057,14,3,1648.0
4.0,20170615-120000_20170615-180000_CANAPE_multichannel_1245.wav,7433.220012902,14,3,1648.0
2.0,20170617-060000_20170617-120000_CANAPE_multichannel_1245.wav,16042.49983999,51,3,2252.0
3.0,20170617-060000_20170617-120000_CANAPE_multichannel_1245.wav,16040.584949096,51,3,2252.0
